"","precision","recall","model"
"508",1,0.0068371467025572,"VBASS"
"509",1,0.00685060565275908,"VBASS"
"510",1,0.00686406460296097,"VBASS"
"511",1,0.00687752355316285,"VBASS"
"512",1,0.00689098250336474,"VBASS"
"513",1,0.00690444145356662,"VBASS"
"514",1,0.00691790040376851,"VBASS"
"515",1,0.00693135935397039,"VBASS"
"516",1,0.00694481830417227,"VBASS"
"517",1,0.00695827725437416,"VBASS"
"518",1,0.00697173620457604,"VBASS"
"519",1,0.00698519515477793,"VBASS"
"520",1,0.00699865410497981,"VBASS"
"521",1,0.0070121130551817,"VBASS"
"522",1,0.00702557200538358,"VBASS"
"523",1,0.00703903095558546,"VBASS"
"524",1,0.00705248990578735,"VBASS"
"525",1,0.00706594885598923,"VBASS"
"526",1,0.00707940780619112,"VBASS"
"527",1,0.007092866756393,"VBASS"
"528",1,0.00710632570659489,"VBASS"
"529",1,0.00711978465679677,"VBASS"
"530",1,0.00713324360699865,"VBASS"
"531",1,0.00714670255720054,"VBASS"
"532",1,0.00716016150740242,"VBASS"
"533",1,0.00717362045760431,"VBASS"
"534",1,0.00718707940780619,"VBASS"
"535",1,0.00720053835800808,"VBASS"
"536",1,0.00721399730820996,"VBASS"
"537",1,0.00722745625841184,"VBASS"
"538",1,0.00724091520861373,"VBASS"
"539",1,0.00725437415881561,"VBASS"
"540",1,0.0072678331090175,"VBASS"
"541",1,0.00728129205921938,"VBASS"
"542",1,0.00729475100942127,"VBASS"
"543",1,0.00730820995962315,"VBASS"
"544",1,0.00732166890982503,"VBASS"
"545",1,0.00733512786002692,"VBASS"
"546",1,0.0073485868102288,"VBASS"
"547",1,0.00736204576043069,"VBASS"
"548",1,0.00737550471063257,"VBASS"
"549",1,0.00738896366083445,"VBASS"
"550",1,0.00740242261103634,"VBASS"
"551",1,0.00741588156123822,"VBASS"
"552",1,0.00742934051144011,"VBASS"
"553",1,0.00744279946164199,"VBASS"
"554",1,0.00745625841184388,"VBASS"
"555",1,0.00746971736204576,"VBASS"
"556",1,0.00748317631224764,"VBASS"
"557",1,0.00749663526244953,"VBASS"
"558",1,0.00751009421265141,"VBASS"
"559",1,0.0075235531628533,"VBASS"
"560",1,0.00753701211305518,"VBASS"
"561",1,0.00755047106325707,"VBASS"
"562",1,0.00756393001345895,"VBASS"
"563",1,0.00757738896366083,"VBASS"
"564",1,0.00759084791386272,"VBASS"
