"","real.log.BF"
"CLPTM1",-8.94125206959069
"ANP32D",-5.80258026549299
"ANKEF1",-5.85630190130447
"SCNM1",-5.82325751124684
"NUDT6",-6.61944257871016
"OSBPL3",-8.14616076546588
"GNG11",-3.44748440381264
"PLEKHO1",-4.70932534793163
"ETV2",-7.00544607457354
"EPCAM",-5.98917995008018
"CTAGE1",-6.58694370781043
"THBS4",-10.0872688981367
"YBX1",-1.97049069425338
"HRAS",-7.54152062618291
"ZNF26",-7.72854557452531
"TBL3",-8.92968458471744
"ITPRIPL1",-6.63272190560477
"ZNF813",-5.94925951529259
"YIF1B",-7.12010065723874
"GNAI1",-5.31736006390862
"VSTM2L",-5.87675061005532
"OASL",-6.77637207749911
"KREMEN1",-6.01753021636118
"ZNF286A",-6.65717178990509
"ADCY7",-7.07694601935163
"ZNF211",-5.69918344852486
"ZNF488",-6.4071995628624
"DCP1A",-3.6953676040586
"SHISA9",-10.9395796918683
"MEX3B",-0.425485745072613
"CHAMP1",-4.34509439717321
"C3orf58",-2.69419461926343
"PPP6C",-6.38983418481507
"WDR26",-2.68016256485493
"PRDM5",-8.00365028594695
"RFTN1",-3.97123693373921
"PACRG",-3.96005315811513
"DERA",-7.41023720167765
"MAZ",-7.08781600458458
"KIAA0825",-10.8197297901876
"PCOLCE",-6.30022701783809
"LMAN1L",-6.90918913955593
"KLHDC2",-5.79586429897208
"CRHBP",-6.61065806314533
"HAPLN3",-6.5272817779689
"UQCRC2",-2.39192981872893
"MRE11",-5.89539788154289
"RASSF2",-6.85242673768125
"NHLRC4",-5.88357176408568
"CUEDC1",-4.24358146959127
"ANKRD53",-2.24135544787638
"TRIM73",-5.87733345096335
"TAPBP",-7.36446311504866
"TMEM151A",-6.21390088999854
"HIST1H2BH",-7.63991621800291
"ZNF354C",-6.89817360861895
