"","pi"
"SLC35A5",0.0156705574955267
"PDGFC",0.00448941973498456
"ARHGEF7",0.311674519282884
"IDH3G",0.00289730728994868
"SPC25",0.000120287428439329
"NIFK",0.0160500634895222
"SULT1B1",0.00350135298559515
"CRIP2",0.0522570484096821
"XXYLT1",0.120476141287974
"TMEM45A",0.00415570630890595
"CACNA2D3",0.0156360630775099
"RASGEF1B",0.00451018941567209
"SCGN",0.00120256005839566
"FAS",0.00394044831826894
"PPA2",0.0395037653473806
"THEGL",0.00350135298559515
"C6orf106",0.0104542209011897
"PCDHB4",0.00726755133785344
"SORD",0.00210188857550504
"THOC7",0.000663713101402027
"PLVAP",0.000481260837720239
"XKR3",0.00359453719575336
"CDH10",0.0246914209838622
"APH1A",0.00250401128468341
"GTF2I",0.00468054309610789
"SLC35G1",0.00243935616157991
"IPP",0.00655017828080219
"ASPN",0.00320408711431734
"PDCD2",0.00723815843962612
"RTRAF",0.00350135298559515
"C18orf54",0.00593889748129922
"LIPI",0.00360256145227338
"LIN7B",0.00504408654905024
"HYKK",0.00365140610819588
"KLRG2",0.00350135298559515
"GFY",0.00286479435239875
"GALNT14",0.00265720590094592
"SLC36A4",0.0651215327275914
"OSR2",0.00281897594441765
"CAB39",0.153420416202695
"PSD",0.0343248917769292
"RAB2A",0.125314634150892
"ARRDC1",0.00159155843751734
"CBX1",0.224620848471653
"GNB5",0.0199221809421414
"MMD",0.0911767445171351
"ZNF578",0.00731102236884609
"FAM217B",0.202897631188484
"DBR1",0.0224645576837293
"LRTM2",0.00356521558015751
"SARAF",0.365184354076317
"C1QL3",0.00371327236097547
"POPDC2",0.00582772468092686
"GPR152",0.00350135298559515
"OSER1",0.00699312547972077
"PYHIN1",0.00396409375230057
"FSCB",0.00350135298559515
"CCR7",0.00626808204182426
"TOR1AIP2",0.0390066227418299
"ZNF362",0.0715446853850355
"FOXD3",0.00348339213430002
"ENTR1",0.00350135298559515
"HELZ2",0.00466897892359138
"CCDC115",0.00209418142143287
"GDPD4",0.00350135298559515
"HNRNPU",0.390125841068727
"NXPE4",0.00350135298559515
"VCL",0.0903534128780688
"PLIN2",0.00359837639043772
"ZNF697",0.0718012387451326
"AXIN2",0.100859966264515
"PNPLA7",0.00790971594173772
"ST3GAL6",0.00181506410144936
"PLIN4",0.00838027542023285
"SCAMP2",0.000285310294922153
"ZNF517",0.00377621707036568
"LRRC74A",0.00350135298559515
"TANC2",0.332378248155577
"RETREG2",0.00350135298559515
"TP53I13",0.000696053291596288
"HIBADH",0.00134690581161753
"CD63",0.0469133287491078
"AMD1",0.0482223850407147
"GABRB1",0.0847141979097607
"TNFRSF19",0.192017029129152
"CCIN",0.00350135298559515
"DBX2",0.00592502514718464
"CACNG3",0.00651871671822881
"STMN4",0.220502425597756
"TDO2",0.00350135298559515
"STN1",0.00350135298559515
"FCRL6",0.00351021267690024
"NME9",0.00334401558472585
"PSMB5",0.0281055226796267
"NOXO1",0.00367601275069011
"TMEM102",0.00351909378984691
"FGF14",0.0419797746074446
"CRAMP1",0.00350135298559515
"ICE1",0.156243579846174
"PRSS38",0.00350135298559515
"BTNL8",0.00360614849677884
"RPL11",0.210904128890754
"STPG2",0.00355736838609699
"SYCE1",0.00350135298559515
"RNF220",0.061129532957287
"GALR2",0.00355736838609699
"OSBPL7",0.00471004181043211
"FAM200A",0.019918577209782
"TRIM38",0.00174935810569295
"TLDC1",0.004108369568794
"RPGRIP1L",0.0120557202678494
"HSPA13",0.201705586386352
"SEC11A",0.0279779120266287
"ST6GALNAC2",0.00361423929101182
"PRDM16",0.0137513995815027
"PAFAH1B2",0.28414868123271
"ING2",0.0459378390933275
"SLC24A1",0.00491816159242405
"PIP4K2B",0.370059209841417
"BTBD16",0.00350135298559515
"NAA40",0.00643542060589927
"GSDMC",0.00263130869569491
"SMAP2",0.00469797095014386
"PEX11B",0.00114812946431659
"LRRIQ1",0.150317679979519
"FOS",0.377017668051578
"E2F6",0.00500180998494585
"NFIL3",0.271521082277239
"CYBRD1",0.00376680401627053
"PPP1R7",0.00198450397241464
"SLC35A3",0.00307280415242125
"SRPK2",0.086847245562637
"PRPF4B",0.378788753661255
"POC5",0.000999308361019131
"RNF212B",0.00337220469097283
"ELOVL2",0.015792205298668
"CDK18",0.00273351383931222
"INSIG1",0.261666996460387
"MKS1",0.00346925127816853
"FAM200B",0.0105256947520891
"GPR26",0.0070943605846402
"HIC2",0.166540673101683
"RAB40B",0.0131258501669364
"ADAR",0.180020207132463
"LRRC17",0.0614630371564511
"BTN1A1",0.00350135298559515
"PRRT1",0.00387338864630765
"NAXE",0.00350135298559515
"FANCL",0.0634691201175754
