"","real.log.BF"
"ASPN",-6.73878557134677
"PDCD2",-5.90195135397663
"RTRAF",-6.66281003536244
"C18orf54",-6.0858994390297
"LIPI",-6.67877293053716
"LIN7B",-6.25201185460772
"HYKK",-6.60363595302604
"KLRG2",-3.84980519285538
"GFY",-6.79673287866835
"GALNT14",-4.18580418169578
"SLC36A4",-3.66272930278358
"OSR2",-6.85090874134367
"CAB39",-0.913509483088001
"PSD",-6.00998529492086
"RAB2A",-3.0013457751174
"ARRDC1",-7.44386782871697
"CBX1",-2.26455860934725
"GNB5",-2.96394118628677
"MMD",-3.3263372482019
"ZNF578",-5.86560261461617
"FAM217B",3.22690373138685
"DBR1",-5.56122484133956
"LRTM2",-6.64695076319803
"SARAF",-1.56514789686198
"C1QL3",-6.72480513194417
"POPDC2",-6.16311259818171
"GPR152",-6.65884641348601
"OSER1",-5.94732147837499
"PYHIN1",-6.49168144782185
"FSCB",-3.86768233581242
"CCR7",-6.14573285204345
"TOR1AIP2",-4.21589095144508
"ZNF362",-3.58088750673284
"FOXD3",-7.36785274211768
"ENTR1",-6.63943089170013
"HELZ2",-12.002478537952
"CCDC115",-7.22382065754387
"GDPD4",-6.6409539244507
"HNRNPU",-0.472254875854192
"NXPE4",-6.65545315602314
"VCL",-6.1256598787798
"PLIN2",-6.64478366273984
"ZNF697",-1.69899303034777
"AXIN2",8.91128950307227
"PNPLA7",-10.1882872641945
"ST3GAL6",-7.33831936901976
"PLIN4",-5.76720290920053
"SCAMP2",-9.20572307783796
"ZNF517",-6.59479005608087
"LRRC74A",-6.67690475135727
"TANC2",-4.62358311340594
"RETREG2",-6.70407387688427
"TP53I13",-8.30445723013234
"HIBADH",-7.68974272852496
"CD63",-4.11577764296468
"AMD1",-4.10512997438943
"GABRB1",-5.14046666863341
"TNFRSF19",-2.5004170699047
"CCIN",-6.75407217390477
"DBX2",-6.22388115947914
"CACNG3",-6.84246418035889
"STMN4",-2.3358684978077
"TDO2",-7.52528164837894
"STN1",-6.70891943375149
"FCRL6",-6.66820332352452
"NME9",-6.74992806781451
"PSMB5",-1.87599956234074
"NOXO1",-6.66357965301063
"TMEM102",-6.68704564388167
"FGF14",-2.47437548128255
"CRAMP1",-6.61658070131994
"ICE1",-5.28139047083653
"PRSS38",-4.95161727218215
"BTNL8",-3.92158120824561
"RPL11",-2.50862833128418
"STPG2",-6.69217869016721
"SYCE1",-6.69181551765613
"RNF220",-5.52487212845899
"GALR2",-6.79012478852986
"OSBPL7",-8.12482850485992
"FAM200A",-4.95447426755449
"TRIM38",-4.68056525260709
"TLDC1",-6.61005530484315
"RPGRIP1L",-8.84031331471832
"HSPA13",-2.5110441044241
"SEC11A",-4.68102210040905
"ST6GALNAC2",-6.74548456391318
"PRDM16",-7.06050482836955
"PAFAH1B2",6.39188688670984
"ING2",-4.18429058375137
"SLC24A1",-8.11624703126357
"PIP4K2B",-1.71676380335166
"BTBD16",-6.73238950601565
"NAA40",-6.16763946370045
"GSDMC",-7.01231311498652
"SMAP2",-6.44414883566771
"PEX11B",-7.89126327689452
"LRRIQ1",-5.3606076152382
"FOS",0.179913682806357
"E2F6",-6.46176437092035
"NFIL3",-2.13252302476531
"CYBRD1",-4.90440399634212
"PPP1R7",-4.61157779276008
"SLC35A3",-6.97591135218115
"SRPK2",-5.1724247310542
"PRPF4B",15.1216288335335
"POC5",-8.02852932862267
"RNF212B",-6.80156541654392
"ELOVL2",-5.29211879375383
"CDK18",-7.82639470068776
"INSIG1",-2.20260079034441
"MKS1",-8.48573585537342
"FAM200B",-5.65716078667915
"GPR26",-6.16140991610198
"HIC2",-2.78650184938886
"RAB40B",-5.53515334799695
"ADAR",-5.61140280085904
"LRRC17",-3.87846329840502
"BTN1A1",-6.80118389801369
"PRRT1",-6.83606981048665
"NAXE",-6.8116894130405
"FANCL",-3.85953186141229
"BTBD19",-6.77589675402149
"ELAVL2",-1.30266699760529
"RHOV",-3.32364428658063
"SERPINE3",-6.84121265592845
"PSG9",-6.7605791819674
"UNC93B1",-7.51953518515249
"MIDN",3.41120294760955
"HCRTR1",-6.78449721112561
"ASB4",-5.91212962563715
"CDH12",-7.42881500671461
"HOXD1",-6.88198837019944
