,GW16:Neurons,GW26:GABAergic neurons,GW23:GABAergic neurons,GW16:Stem cells,GW26:Neurons,GW10:Neurons,GW23:Neurons,GW10:Stem cells,GW16:GABAergic neurons,GW19:Neurons,GW26:OPC,GW26:Astrocytes,GW12:Neurons,GW09:Stem cells,GW26:Microglia,GW09:Neurons,GW23:OPC,GW19:GABAergic neurons,GW13:Neurons,GW08:Neurons,GW16:OPC,GW12:Stem cells,GW16:Microglia,GW23:Microglia
LINC00911,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00919,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00920,0,2,1,0,0,0,2,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,1,0
LINC00921,100,98,20,28,14,13,12,16,10,9,16,22,5,4,8,3,3,1,5,1,4,2,0,3
LINC00922,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LINC00923,6,9,1,1,1,1,1,2,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0
LINC00924,144,115,29,39,21,22,18,26,13,14,20,23,4,9,10,6,2,1,0,1,1,1,2,1
LINC00925,294,181,48,81,39,52,33,55,35,20,37,43,11,26,15,18,13,3,4,6,7,6,7,4
LINC00926,22,40,11,3,5,3,4,6,1,1,4,6,3,0,4,1,2,0,1,0,0,1,0,0
LINC00927,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00928,36,16,1,11,3,5,0,10,3,3,5,6,2,2,1,0,2,0,0,0,0,1,1,0
LINC00929,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00930,2,4,0,1,1,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
LINC00933,2,6,3,1,0,2,1,0,0,2,0,2,0,0,1,0,0,1,0,1,0,0,0,0
